IssuerId,IssuerId2,BusinessDate,StateCode,SourceName,NetworkName,NetworkURL,custnum,MarketCoverage,DentalOnlyPlan
21989,21989,2019-10-01,AK,HIOS,ODS Premier,https://www.modahealth.com/ProviderSearch/faces/webpages/home.xhtml?dn=ods,13,,
219,219,2019-10-01,AK,HIOS,ODS Premier,,,,
38344,38344,2019-10-01,AK,HIOS,HeritagePlus,https://www.premera.com/wa/visitor/,13,,
38536,38536,2019-10-01,AK,HIOS,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,13,,
42507,42507,2019-10-01,AK,HIOS,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,13,,
73836,73836,2019-10-01,AK,HIOS,Moda Plus AK Regional,https://www.modahealth.com/ProviderSearch/faces/webpages/home.xhtml?dn=ods,13,,
73836,73836,2019-10-01,AK,HIOS,Moda Plus Providence,https://www.modahealth.com/ProviderSearch/faces/webpages/home.xhtml?dn=ods,14,,
74819,74819,2019-10-01,AK,HIOS,DenteMax,http://www2.dentemax.com/,13,,
84859,84859,2019-10-01,AK,HIOS,Ameritas PPO Dental Network,www.standard.com,13,,
12538,12538,2019-10-01,AL,HIOS,DenteMax,http://www2.dentemax.com/,13,,
12538,12538,2019-10-01,AL,HIOS,CONNECTION Dental through PPO USA,http://www.ppousa.com/patients/index.html,14,,
17540,17540,2019-10-01,AL,HIOS,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,13,,
44580,44580,2019-10-01,AL,HIOS,Birmingham PPOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=808,13,,
44580,44580,2019-10-01,AL,HIOS,Huntsville PPOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=809,14,,
44580,44580,2019-10-01,AL,HIOS,Humana Dental PPO Traditional Preferred,https://www.humana.com/finder/search?customerID=1085&pfpkey=317,15,,
44785,44785,2019-10-01,AL,HIOS,Advantage Plus,https://secure.ucci.com/tp2fad/?network=074,13,,
46211,46211,2019-10-01,AL,HIOS,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,13,,
46944,46944,2019-10-01,AL,HIOS,BCBSAL PPO,https://www.bcbsal.org/doctorfinder?frm=Exchange,13,,
59809,59809,2019-10-01,AL,HIOS,Choice Plus,http://www.providerlookuponline.com/uhc/po7/gateway.aspx?delsys=05,13,,
59809,59809,2019-10-01,AL,HIOS,Choice Plus,http://www.providerlookuponline.com/uhc/po7/gateway.aspx?delsys=05,14,,
77233,77233,2019-10-01,AL,HIOS,Dentegra Dental PPO,http://www.dentegra.com/find-a-dentist,13,,
82285,82285,2019-10-01,AL,HIOS,Delta Dental PPO,http://www.deltadentalins.com/find-a-dentist/,13,,
17100,17100,2019-10-01,AZ,HIOS,EHB Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_AZ&planType=DPPO&networkID=2,13,,
17100,17100,2019-10-01,AZ,HIOS,EHB Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_AZ&planType=DPPO&networkID=2,14,,
17100,17100,2019-10-01,AZ,HIOS,Family Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_AZ&planType=DPPO&networkID=2,15,,
17100,17100,2019-10-01,AZ,HIOS,Family Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_AZ&planType=DPPO&networkID=2,16,,
18156,18156,2019-10-01,AZ,HIOS,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,13,,
23307,23307,2019-10-01,AZ,HIOS,Phoenix HMOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=762,13,,
23307,23307,2019-10-01,AZ,HIOS,Tucson HMOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=801,14,,
30045,30045,2019-10-01,AZ,HIOS,Delta Dental PPO,http://www.deltadental.com/DentistSearch/DentistSearchController.ccl?ViewProduct=B20,13,,
30045,30045,2019-10-01,AZ,HIOS,Delta Dental PPO plus Premier,http://www.deltadental.com/DentistSearch/DentistSearchController.ccl?ViewProduct=B01,14,,
30045,30045,2019-10-01,AZ,HIOS,Delta Dental Premier,http://www.deltadental.com/DentistSearch/DentistSearchController.ccl?ViewProduct=B01,15,,
33851,33851,2019-10-01,AZ,HIOS,Premier Access Dental,www.premierlife.com/providersearch,13,,
51485,51485,2019-10-01,AZ,HIOS,AZ PPO,https://www.healthnet.com/portal/providerSearch.action,13,,
52147,52147,2019-10-01,AZ,HIOS,Ameritas PPO Dental Network,www.standard.com,13,,
53901,53901,2019-10-01,AZ,HIOS,Statewide PPO,www.azblue.com/PPO,13,,
53901,53901,2019-10-01,AZ,HIOS,Alliance,www.azblue.com/Alliance,14,,
53901,53901,2019-10-01,AZ,HIOS,Select,www.azblue.com/Select,15,,
58292,58292,2019-10-01,AZ,HIOS,Dentegra Dental PPO,http://www.dentegra.com/find-a-dentist,13,,
60761,60761,2019-10-01,AZ,HIOS,Meritus HMO Network,http://www.meritusaz.com/hmo-provider-search1.html,13,,
60761,60761,2019-10-01,AZ,HIOS,Meritus Neighborhood Network Maricopa,http://www.meritusaz.com/provider-search1.html,14,,
60761,60761,2019-10-01,AZ,HIOS,Meritus Community Network Phoenix,http://www.meritusaz.com/provider-search1.html,15,,
60761,60761,2019-10-01,AZ,HIOS,Meritus Community Network Pima,http://www.meritusaz.com/provider-search1.html,16,,
66105,66105,2019-10-01,AZ,HIOS,Humana Dental PPO/Traditional Preferred,https://www.humana.com/finder/search?customerID=1085&pfpkey=317,13,,
70239,70239,2019-10-01,AZ,HIOS,Health Choice Essential,http://www.healthchoiceessential.com/members/FindProvider.aspx,13,,
77352,77352,2019-10-01,AZ,HIOS,DenteMax,http://www2.dentemax.com/,13,,
77352,77352,2019-10-01,AZ,HIOS,Total Dental Administrators (TDA),http://www.totaldentaladmin.com/,14,,
84251,84251,2019-10-01,AZ,HIOS,QHP PPO_OAMC_Arizona,http://www.aetna.com/individuals-families-health-insurance/buy-insurance/exchange/az.html,13,,
86830,86830,2019-10-01,AZ,HIOS,Arizona Local Plus,www.Cigna.com/ifp-providers,13,,
88925,88925,2019-10-01,AZ,HIOS,UHM Primary,http://uamarketplace.com/providerlookup.aspx,13,,
88925,88925,2019-10-01,AZ,HIOS,MIHS Limited,http://uamarketplace.com/providerlookup.aspx,14,,
88925,88925,2019-10-01,AZ,HIOS,Apache,http://uamarketplace.com/providerlookup.aspx,15,,
88925,88925,2019-10-01,AZ,HIOS,Cochise,http://uamarketplace.com/providerlookup.aspx,16,,
88925,88925,2019-10-01,AZ,HIOS,Coconino,http://uamarketplace.com/providerlookup.aspx,17,,
88925,88925,2019-10-01,AZ,HIOS,Gila,http://uamarketplace.com/providerlookup.aspx,18,,
88925,88925,2019-10-01,AZ,HIOS,Greenlee,http://uamarketplace.com/providerlookup.aspx,19,,
88925,88925,2019-10-01,AZ,HIOS,Graham,http://uamarketplace.com/providerlookup.aspx,20,,
88925,88925,2019-10-01,AZ,HIOS,La Paz,http://uamarketplace.com/providerlookup.aspx,21,,
88925,88925,2019-10-01,AZ,HIOS,Maricopa,http://uamarketplace.com/providerlookup.aspx,22,,
88925,88925,2019-10-01,AZ,HIOS,Mohave,http://uamarketplace.com/providerlookup.aspx,23,,
88925,88925,2019-10-01,AZ,HIOS,Navajo,http://uamarketplace.com/providerlookup.aspx,24,,
88925,88925,2019-10-01,AZ,HIOS,Pima,http://uamarketplace.com/providerlookup.aspx,25,,
88925,88925,2019-10-01,AZ,HIOS,Pinal,http://uamarketplace.com/providerlookup.aspx,26,,
88925,88925,2019-10-01,AZ,HIOS,Santa Cruz,http://uamarketplace.com/providerlookup.aspx,27,,
88925,88925,2019-10-01,AZ,HIOS,Yavapai,http://uamarketplace.com/providerlookup.aspx,28,,
88925,88925,2019-10-01,AZ,HIOS,Yuma,http://uamarketplace.com/providerlookup.aspx,29,,
88925,88925,2019-10-01,AZ,HIOS,GSA10,http://uamarketplace.com/providerlookup.aspx,30,,
88925,88925,2019-10-01,AZ,HIOS,GSA2,http://uamarketplace.com/providerlookup.aspx,31,,
88925,88925,2019-10-01,AZ,HIOS,GSA8,http://uamarketplace.com/providerlookup.aspx,32,,
88925,88925,2019-10-01,AZ,HIOS,GSA14,http://uamarketplace.com/providerlookup.aspx,33,,
90264,90264,2019-10-01,AZ,HIOS,Ameritas PPO Dental Network,www.ameritasgroup.com,13,,
91450,91450,2019-10-01,AZ,HIOS,AZ HMO CommunityCare Network,https://www.healthnet.com/portal/providerSearch.action,13,,
91450,91450,2019-10-01,AZ,HIOS,AZ HMO,https://www.healthnet.com/portal/providerSearch.action,14,,
91450,91450,2019-10-01,AZ,HIOS,AZ HMO ExcelCare Network,https://www.healthnet.com/portal/providerSearch.action,15,,
92045,92045,2019-10-01,AZ,HIOS,Meritus PPO Network,https://www.azfmc.com/meritussearch,13,,
99180,99180,2019-10-01,AZ,HIOS,Advantage Plus,https://secure.ucci.com/tp2fad/?network=074,13,,
15980,15980,2019-10-01,FL,HIOS,Humana Dental PPO/Traditional Preferred,https://www.humana.com/finder/search?customerID=1085&pfpkey=317,13,,
16842,16842,2019-10-01,FL,HIOS,NetworkBlue,http://opd.bcbsfl.com,13,,
16842,16842,2019-10-01,FL,HIOS,BlueSelect,http://opd.bcbsfl.com,14,,
23841,23841,2019-10-01,FL,HIOS,QHP PPO_OAMC_Florida,http://www.aetna.com/individuals-families-health-insurance/buy-insurance/exchange/fl.html,13,,
27357,27357,2019-10-01,FL,HIOS,Health First Health Plans,www.healthfirsthealthplans.org,13,,
30115,30115,2019-10-01,FL,HIOS,Blue Dental Choice,http://floridabluedental.com/find-a-dentist.aspx,13,,
30219,30219,2019-10-01,FL,HIOS,EHB Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_FL&planType=DUAL&custNum=0383201&networkID=2,13,,
30219,30219,2019-10-01,FL,HIOS,EHB Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_FL&planType=DUAL&custNum=0383201&networkID=2,14,,
